filename,emotion,duration_seconds,text,speaker_id,split
s_001_1.wav,sad,1.86,"Якщо в тебе щось не виходить,",166,train
s_002_1.wav,sad,1.54,Але я тебе ніколи не бачила.,107,test
s_003_0.wav,sad,1.72,Якраз для дівчаток. Тримай.,58,train
s_004_1.wav,sad,2.08,Я цих 700 грн ділила на 30 днів.,37,train
s_005_1.wav,sad,1.54,Нічого не відчуваю.,176,train
s_006_1.wav,sad,1.92,З дитиною він не грався.,85,test
s_007_0.wav,sad,1.1,Тато з ким спілкуєшся?,58,train
s_008_1.wav,sad,3.0,Я би не змогла відправити сина жити окремо.,177,train
s_009_0.wav,sad,1.56,Вони з татом не спілкувалися.,58,train
s_010_1.wav,sad,0.9,"Я не вірю, щоб",237,train
s_011_1.wav,sad,1.75,"А я вважаю, що я зробила себе сама.",183,train
s_012_1.wav,sad,1.77,"Я кажу, відвези мене додому.",43,train
s_013_1.wav,sad,1.79,Вона через 10-15 хвилин.,151,train
s_014_1.wav,sad,1.65,Якби просто поруч не чоловік.,31,test
s_015_1.wav,sad,2.36,Я не уявляю свого життя без нього.,130,test
s_016_1.wav,sad,1.97,Шок був дуже сильний.,166,train
s_017_1.wav,sad,1.15,Це важко було?,221,train
s_018_1.wav,sad,1.92,Це важко було без вікна.,221,train
s_019_1.wav,sad,1.48,"Зробиш мені, будь ласка, чайчик.",142,train
s_020_0.wav,sad,1.62,"Нема слів, просто чесно.",58,train
s_021_1.wav,sad,3.06,лікарі заборонили нам пів року пробувати.,130,test
s_022_1.wav,sad,2.16,Я вже трішечки прийшла в себе.,130,test
s_023_1.wav,sad,2.19,Як вдалося вам її зберегти?,227,train
s_024_1.wav,sad,2.43,Але кохання не було в мене ніколи до нього.,37,train
s_025_1.wav,sad,2.55,Він і почав жбурляти їх в мене.,212,train
s_026_0.wav,sad,1.67,Я допомагав трішечки зовсім.,289,train
s_027_1.wav,sad,1.55,самостійне життя.,128,train
s_028_1.wav,sad,3.07,"Гіршого дня і в мене ще й не було, мабуть, в житті.",41,train
s_029_1.wav,sad,1.74,Не просто рибку з'їсти.,372,train
s_030_1.wav,sad,2.65,"не обійме мене, вона більше не поцілує мене.",44,train
s_031_1.wav,sad,1.79,Я дуже багато плакала.,105,train
s_032_1.wav,sad,0.96,Ну не було його.,105,train
s_033_1.wav,sad,2.72,"Я дуже багато плакала, дуже боляче.",105,train
s_034_1.wav,sad,1.97,Не відчувала себе потрібною рідним.,17,train
s_035_1.wav,sad,2.36,вона не відчувала себе потрібною рідним.,17,train
s_036_1.wav,sad,2.35,В мене аж слів немає до сих пір.,355,train
s_037_1.wav,sad,1.92,"Ну, каже, а що ти тут робиш? Ти дурна?",127,train
s_038_1.wav,sad,2.31,Та ніхто просто цьому не підтримав.,83,train
s_039_1.wav,sad,1.25,Мені дуже стидно було.,134,train
s_040_1.wav,sad,2.21,"поясняти лікарю, що маму хочуть виписати.",177,train
s_041_1.wav,sad,1.74,Я приходила у велику фарму.,184,train
s_042_1.wav,sad,1.52,роди дуже важкі були.,25,train
s_043_1.wav,sad,2.18,"Так як в мене були дуже важкі пологи,",127,train
s_044_1.wav,sad,1.6,І буду робити ще більше.,189,train
s_045_1.wav,sad,2.09,Відношення до мене не дуже добре.,174,train
s_046_1.wav,sad,1.41,"Можливо, ти завтра ще?",61,train
s_047_1.wav,sad,1.64,Він дуже хороший батько.,174,train
s_048_1.wav,sad,2.47,Просто не вистачало поспілкуватися з людиною.,250,train
s_049_1.wav,sad,2.63,"Бо мені причулось, що Карпачов мені 10 балів би дав.",313,train
s_050_1.wav,sad,2.46,"Ну, просто найкращий чоловік, якого я просто знаю.",45,train
s_051_1.wav,sad,1.66,Він прожив три дні і,114,test
s_052_1.wav,sad,3.27,"Він прожив три дні, і в нього стався",114,test
s_053_1.wav,sad,1.72,Вони навіть на них наводяться швидко.,147,train
s_054_0.wav,sad,2.41,Не може бути дитині 29 років?,193,train
s_055_1.wav,sad,2.19,"Ну, мабуть, тим, що",96,train
s_056_1.wav,sad,1.54,Я не хочу піти.,20,train
s_057_1.wav,sad,1.79,Коли в мене було вже тридцять дітей.,134,train
s_058_1.wav,sad,2.3,Я розлучилася зі своїм першим чоловіком.,134,train
s_059_1.wav,sad,2.08,Я настільки ненавиділа їхню матір.,191,train
s_060_1.wav,sad,2.56,"Ну, я пам'ятаю, він просто лежить і тримається за голову.",50,train
